"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","2","21","AvoidGlobalModifier","Avoid using global modifier","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"2","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","2","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","3","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","1","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","3","12","ClassNamingConventions","The inner class name 'request' doesn't match '[A-Z][a-zA-Z0-9_]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#classnamingconventions","Code Style","pmd"
"5","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","12","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","1","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","12","12","ClassNamingConventions","The inner class name 'response' doesn't match '[A-Z][a-zA-Z0-9_]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#classnamingconventions","Code Style","pmd"
"7","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","26","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","74","21","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"9","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/CalculateBusinessHoursDiff.cls","81","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"10","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FeatureFlagUtil.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"11","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FeatureFlagUtil.cls","21","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"12","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FeatureFlagUtil.cls","31","59","EagerlyLoadedDescribeSObjectResult","DescribeSObjectResult could be being loaded eagerly with all child relationships.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#eagerlyloadeddescribesobjectresult","Performance","pmd"
"13","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FeatureFlagUtil.cls","33","17","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"14","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FeatureFlagUtil.cls","37","58","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"15","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FeatureFlagUtil.cls","47","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"16","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FeatureFlagUtil.cls","60","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"17","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"18","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","3","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"19","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","7","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"20","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","7","12","NcssMethodCount","The method 'execute()' has an NCSS line count of 44 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"21","5","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","7","12","QueueableWithoutFinalizer","This Queueable doesnt attach a Finalizer","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#queueablewithoutfinalizer","Best Practices","pmd"
"22","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","24","29","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"23","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","28","21","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"24","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","47","31","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"25","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","53","21","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"26","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowDeactivator.cls","56","17","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"27","3","/Users/michaelmuse/My Drive (michael@museoperations.com)/Projects/Flowdometer/force-app/main/default/classes/FlowdometerUninstallHelper.cls","6","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
